ine_code,municipio,provincia,ccaa,population,rank,tier,region_tier
"29094","Vélez-Málaga","Málaga","Andalucía",86048,86,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"28161","Valdemoro","Madrid","Comunidad de Madrid",85972,87,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"08200","Sant Boi de Llobregat","Barcelona","Cataluña",85610,88,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"29054","Fuengirola","Málaga","Andalucía",85211,89,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"03099","Orihuela","Alicante/Alacant","Comunitat Valenciana",84560,90,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"45165","Talavera de la Reina","Toledo","Castilla-La Mancha",83803,91,"SEED","T3-UNVERIFIED"
"51001","Ceuta","Ceuta","Ciudad Autónoma de Ceuta",83595,92,"SEED","T3-UNVERIFIED"
"36038","Pontevedra","Pontevedra","Galicia",83316,93,"SEED","T2-PORTAL-CLASSIFICATION(legal-override-caveat)"
"46131","Gandia","Valencia/València","Comunitat Valenciana",83135,94,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"08184","Rubí","Barcelona","Cataluña",82823,95,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"08113","Manresa","Barcelona","Cataluña",80974,96,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"28049","Coslada","Madrid","Comunidad de Madrid",80512,97,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"29051","Estepona","Málaga","Andalucía",79621,98,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"35022","Santa Lucía de Tirajana","Palmas, Las","Canarias",78584,99,"SEED","T3-UNVERIFIED"
"30027","Molina de Segura","Murcia","Región de Murcia",78458,100,"SEED","T3-UNVERIFIED"
"29025","Benalmádena","Málaga","Andalucía",78338,101,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"41004","Alcalá de Guadaíra","Sevilla","Andalucía",77474,102,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"34120","Palencia","Palencia","Castilla y León",77466,103,"SEED","T2-PDF-CEDULA-ONLY(sourced)"
"03031","Benidorm","Alicante/Alacant","Comunitat Valenciana",77327,104,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"13034","Ciudad Real","Ciudad Real","Castilla-La Mancha",76217,105,"SEED","T3-UNVERIFIED"
"46190","Paterna","Valencia/València","Comunitat Valenciana",76019,106,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"48044","Getxo","Bizkaia","País Vasco",75752,107,"SEED","T3-FORAL-CADASTRE-BLOCKER"
"33004","Avilés","Asturias","Principado de Asturias",75517,108,"SEED","T3-UNVERIFIED"
"28080","Majadahonda","Madrid","Comunidad de Madrid",73625,109,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"46220","Sagunt/Sagunto","Valencia/València","Comunitat Valenciana",73031,110,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"08307","Vilanova i la Geltrú","Barcelona","Cataluña",71641,111,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"29901","Torremolinos","Málaga","Andalucía",71329,112,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"35004","Arrecife","Palmas, Las","Canarias",70811,113,"SEED","T3-UNVERIFIED"
"08056","Castelldefels","Barcelona","Cataluña",70057,114,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"11032","Sanlúcar de Barrameda","Cádiz","Andalucía",70012,115,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"08301","Viladecans","Barcelona","Cataluña",67587,116,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"28047","Collado Villalba","Madrid","Comunidad de Madrid",67274,117,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"28022","Boadilla del Monte","Madrid","Comunidad de Madrid",66349,118,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"08169","Prat de Llobregat, El","Barcelona","Cataluña",66338,119,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"08096","Granollers","Barcelona","Cataluña",65341,120,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"11022","Línea de la Concepción, La","Cádiz","Andalucía",64499,121,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"15036","Ferrol","Coruña, A","Galicia",64367,122,"SEED","T2-PORTAL-CLASSIFICATION(legal-override-caveat)"
"20045","Irun","Gipuzkoa","País Vasco",63835,123,"SEED","T3-FORAL-CADASTRE-BLOCKER"
"24115","Ponferrada","León","Castilla y León",63186,124,"SEED","T2-PDF-CEDULA-ONLY(sourced)"
"28013","Aranjuez","Madrid","Comunidad de Madrid",63040,125,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"03009","Alcoi/Alcoy","Alicante/Alacant","Comunitat Valenciana",61468,126,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"28014","Arganda del Rey","Madrid","Comunidad de Madrid",60419,127,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"03122","Sant Vicent del Raspeig/San Vicente del Raspeig","Alicante/Alacant","Comunitat Valenciana",60247,128,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"06083","Mérida","Badajoz","Extremadura",60225,129,"SEED","T3-UNVERIFIED"
"18140","Motril","Granada","Andalucía",59862,130,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"49275","Zamora","Zamora","Castilla y León",59815,131,"SEED","T2-PDF-CEDULA-ONLY(sourced)"
"05019","Ávila","Ávila","Castilla y León",59107,132,"SEED","T2-PDF-CEDULA-ONLY(sourced)"
"38017","Granadilla de Abona","Santa Cruz de Tenerife","Canarias",58752,133,"SEED","T3-UNVERIFIED"
"28045","Colmenar Viejo","Madrid","Comunidad de Madrid",58730,134,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"08266","Cerdanyola del Vallès","Barcelona","Cataluña",58528,135,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"28113","Pinto","Madrid","Comunidad de Madrid",56651,136,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"23055","Linares","Jaén","Andalucía",55633,137,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"22125","Huesca","Huesca","Aragón",55454,138,"SEED","T3-UNVERIFIED"
"07026","Eivissa","Balears, Illes","Illes Balears",55337,139,"SEED","T3-UNVERIFIED"
"03066","Elda","Alicante/Alacant","Comunitat Valenciana",55222,140,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"28903","Tres Cantos","Madrid","Comunidad de Madrid",54592,141,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"35019","San Bartolomé de Tirajana","Palmas, Las","Canarias",54291,142,"SEED","T3-UNVERIFIED"
"07011","Calvià","Balears, Illes","Illes Balears",53793,143,"SEED","T3-UNVERIFIED"
"12135","Vila-real","Castellón/Castelló","Comunitat Valenciana",53623,144,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"16078","Cuenca","Cuenca","Castilla-La Mancha",53600,145,"SEED","T3-UNVERIFIED"
"33066","Siero","Asturias","Principado de Asturias",53049,146,"SEED","T3-UNVERIFIED"
"08124","Mollet del Vallès","Barcelona","Cataluña",52990,147,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"29082","Rincón de la Victoria","Málaga","Andalucía",52454,148,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"41095","Utrera","Sevilla","Andalucía",52403,149,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"40194","Segovia","Segovia","Castilla y León",52375,150,"SEED","T2-PDF-CEDULA-ONLY(sourced)"
"39087","Torrelavega","Cantabria","Cantabria",51796,151,"SEED","T3-UNVERIFIED"
"08298","Vic","Barcelona","Cataluña",50796,152,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"38001","Adeje","Santa Cruz de Tenerife","Canarias",50021,153,"SEED","T3-UNVERIFIED"
"17066","Figueres","Girona","Cataluña",49689,154,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"07033","Manacor","Balears, Illes","Illes Balears",49153,155,"SEED","T3-UNVERIFIED"
"08089","Gavà","Barcelona","Cataluña",48243,156,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"46017","Alzira","Valencia/València","Comunitat Valenciana",48236,157,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"08077","Esplugues de Llobregat","Barcelona","Cataluña",48221,158,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"41059","Mairena del Aljarafe","Sevilla","Andalucía",48017,159,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"03063","Dénia","Alicante/Alacant","Comunitat Valenciana",47261,160,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"46169","Mislata","Valencia/València","Comunitat Valenciana",47079,161,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"08211","Sant Feliu de Llobregat","Barcelona","Cataluña",46781,162,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"48082","Santurtzi","Bizkaia","País Vasco",46442,163,"SEED","T3-FORAL-CADASTRE-BLOCKER"
"35017","Puerto del Rosario","Palmas, Las","Canarias",46150,164,"SEED","T3-UNVERIFIED"
"13071","Puertollano","Ciudad Real","Castilla-La Mancha",45565,165,"SEED","T3-UNVERIFIED"
"29007","Alhaurín de la Torre","Málaga","Andalucía",45066,166,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"48078","Portugalete","Bizkaia","País Vasco",44843,167,"SEED","T3-FORAL-CADASTRE-BLOCKER"
"30005","Alcantarilla","Murcia","Región de Murcia",43876,168,"SEED","T3-UNVERIFIED"
"14038","Lucena","Córdoba","Andalucía",43408,169,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"17095","Lloret de Mar","Girona","Cataluña",43000,170,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"17023","Blanes","Girona","Cataluña",42699,171,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"08305","Vilafranca del Penedès","Barcelona","Cataluña",42607,172,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"11028","Puerto Real","Cádiz","Andalucía",42527,173,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"38026","Orotava, La","Santa Cruz de Tenerife","Canarias",42514,174,"SEED","T3-UNVERIFIED"
"07054","Santa Eulària des Riu","Balears, Illes","Illes Balears",42479,175,"SEED","T3-UNVERIFIED"
"08102","Igualada","Barcelona","Cataluña",42085,176,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"29015","Antequera","Málaga","Andalucía",41849,177,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"30037","Torre-Pacheco","Murcia","Región de Murcia",41479,178,"SEED","T3-UNVERIFIED"
"46078","Burjassot","Valencia/València","Comunitat Valenciana",41299,179,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"43163","Vendrell, El","Tarragona","Cataluña",41133,180,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"42173","Soria","Soria","Castilla y León",41025,181,"SEED","T2-PDF-CEDULA-ONLY(sourced)"
"41081","Rinconada, La","Sevilla","Andalucía",40724,182,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"07031","Llucmajor","Balears, Illes","Illes Balears",40502,183,"SEED","T3-UNVERIFIED"
"07036","Marratxí","Balears, Illes","Illes Balears",40422,184,"SEED","T3-UNVERIFIED"
"48015","Basauri","Bizkaia","País Vasco",40274,185,"SEED","T3-FORAL-CADASTRE-BLOCKER"
"10148","Plasencia","Cáceres","Extremadura",40132,186,"SEED","T3-UNVERIFIED"
"15054","Narón","Coruña, A","Galicia",39953,187,"SEED","T2-PORTAL-CLASSIFICATION(legal-override-caveat)"
"08180","Ripollet","Barcelona","Cataluña",39897,188,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"03121","Santa Pola","Alicante/Alacant","Comunitat Valenciana",39709,189,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"41039","Écija","Sevilla","Andalucía",39659,190,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"17114","Olot","Girona","Cataluña",39519,191,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"20067","Errenteria","Gipuzkoa","País Vasco",39363,192,"SEED","T3-FORAL-CADASTRE-BLOCKER"
"08194","Sant Adrià de Besòs","Barcelona","Cataluña",39323,193,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"35006","Arucas","Palmas, Las","Canarias",39232,194,"SEED","T3-UNVERIFIED"
"28130","San Fernando de Henares","Madrid","Comunidad de Madrid",39059,195,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"31232","Tudela","Navarra","Comunidad Foral de Navarra",38903,196,"SEED","T3-FORAL-CADASTRE-BLOCKER"
"15058","Oleiros","Coruña, A","Galicia",38793,197,"SEED","T2-PORTAL-CLASSIFICATION(legal-override-caveat)"
"41069","Palacios y Villafranca, Los","Sevilla","Andalucía",38761,198,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"33031","Langreo","Asturias","Principado de Asturias",38612,199,"SEED","T3-UNVERIFIED"
"28015","Arroyomolinos","Madrid","Comunidad de Madrid",38075,200,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"06044","Don Benito","Badajoz","Extremadura",37986,201,"SEED","T3-UNVERIFIED"
"12032","Borriana/Burriana","Castellón/Castelló","Comunitat Valenciana",37915,202,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"36060","Vilagarcía de Arousa","Pontevedra","Galicia",37888,203,"SEED","T2-PORTAL-CLASSIFICATION(legal-override-caveat)"
"38031","Realejos, Los","Santa Cruz de Tenerife","Canarias",37867,204,"SEED","T3-UNVERIFIED"
"30003","Águilas","Murcia","Región de Murcia",37811,205,"SEED","T3-UNVERIFIED"
"08125","Montcada i Reixac","Barcelona","Cataluña",37460,206,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"03139","Vila Joiosa, la/Villajoyosa","Alicante/Alacant","Comunitat Valenciana",37449,207,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"13082","Tomelloso","Ciudad Real","Castilla-La Mancha",37060,208,"SEED","T3-UNVERIFIED"
"43038","Cambrils","Tarragona","Cataluña",37042,209,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"46184","Ontinyent","Valencia/València","Comunitat Valenciana",37012,210,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"28061","Galapagar","Madrid","Comunidad de Madrid",36758,211,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"44216","Teruel","Teruel","Aragón",36655,212,"SEED","T3-UNVERIFIED"
"09219","Miranda de Ebro","Burgos","Castilla y León",36622,213,"SEED","T2-PDF-CEDULA-ONLY(sourced)"
"30035","San Javier","Murcia","Región de Murcia",36524,214,"SEED","T3-UNVERIFIED"
"30043","Yecla","Murcia","Región de Murcia",36453,215,"SEED","T3-UNVERIFIED"
"33037","Mieres","Asturias","Principado de Asturias",36373,216,"SEED","T3-UNVERIFIED"
"07027","Inca","Balears, Illes","Illes Balears",36262,217,"SEED","T3-UNVERIFIED"
"43155","Tortosa","Tarragona","Cataluña",35997,218,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"08217","Sant Joan Despí","Barcelona","Cataluña",35926,219,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"19046","Azuqueca de Henares","Guadalajara","Castilla-La Mancha",35924,220,"SEED","T3-UNVERIFIED"
"23005","Andújar","Jaén","Andalucía",35610,221,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"30019","Cieza","Murcia","Región de Murcia",35577,222,"SEED","T3-UNVERIFIED"
"30026","Mazarrón","Murcia","Región de Murcia",35449,223,"SEED","T3-UNVERIFIED"
"03140","Villena","Alicante/Alacant","Comunitat Valenciana",34712,224,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"46021","Aldaia","Valencia/València","Comunitat Valenciana",34630,225,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"06011","Almendralejo","Badajoz","Extremadura",34587,226,"SEED","T3-UNVERIFIED"
"17155","Salt","Girona","Cataluña",34491,227,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"15005","Arteixo","Coruña, A","Galicia",34403,228,"SEED","T2-PORTAL-CLASSIFICATION(legal-override-caveat)"
"11033","San Roque","Cádiz","Andalucía",34310,229,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
